adc_nr,adc_sum_nr,sum_adc_chan,trap_type
0,0,16,0
0,1,17,0
0,2,18,0
0,3,19,0
0,4,20,0
0,5,21,0
0,6,22,0
0,7,23,0
1,0,24,1
1,1,25,1
1,2,26,1
1,3,27,1
1,4,28,1
1,5,29,1
1,6,30,1
1,7,31,1
2,0,0,0
2,1,1,0
2,2,2,0
2,3,3,0
2,4,4,0
2,5,5,0
2,6,6,0
2,7,7,0
3,0,10,1
3,1,11,1
3,2,8,1
3,3,9,1
3,4,12,1
3,5,13,1
3,6,14,1
3,7,15,1
4,0,48,0
4,1,49,0
4,2,50,0
4,3,51,0
4,4,52,0
4,5,53,0
4,6,54,1
4,7,55,1
5,0,56,1
5,1,57,1
5,2,58,1
5,3,59,1
5,4,60,1
5,5,61,1
5,6,62,0
5,7,63,0
6,0,32,0
6,1,33,0
6,2,34,0
6,3,35,0
6,4,36,0
6,5,37,0
6,6,38,0
6,7,39,0
7,0,40,1
7,1,41,1
7,2,42,1
7,3,43,1
7,4,44,1
7,5,45,1
7,6,46,1
7,7,47,1
